"Response ID","Date submitted","Last page","Start language","Seed","Date started","Date last action","Which of the following describes your role in relation to software systems in your organization? [Management]","Which of the following describes your role in relation to software systems in your organization? [Technical]","Which of the following describes your role in relation to software systems in your organization? [Non-Technical]","Which domains best describe the software systems you primarily work with?  [Mobile application]","Which domains best describe the software systems you primarily work with?  [IoT (Internet of Things) or embedded software]","Which domains best describe the software systems you primarily work with?  [Web application]","Which domains best describe the software systems you primarily work with?  [Platform or infrastructure software (e.g., Kubernetes, CI/CD platforms, runtime environments)]","Which domains best describe the software systems you primarily work with?  [Business / Enterprise application]","Which domains best describe the software systems you primarily work with?  [Other]","How large is your organization?","Who holds formal decision authority for sustainability-related decisions regarding software systems in your organization? ","Which workload types characterize the majority of the software systems you primarily work with?  [Transactional application workloads (e.g., web applications, APIs)]","Which workload types characterize the majority of the software systems you primarily work with?  [Data analytics / reporting workloads]","Which workload types characterize the majority of the software systems you primarily work with?  [Event-driven / real-time workloads (e.g., message queues, streaming platforms)]","Which workload types characterize the majority of the software systems you primarily work with?  [Batch processing / data pipelines (e.g., Extract–Transform–Load (ETL), scheduled jobs)]","Which workload types characterize the majority of the software systems you primarily work with?  [Machine learning / artificial intelligence (e.g., training or inference)]","Which workload types characterize the majority of the software systems you primarily work with?  [Embedded / edge workloads]","Which workload types characterize the majority of the software systems you primarily work with?  [High-performance or compute-intensive workloads (e.g., simulations, scientific computing)]","Which workload types characterize the majority of the software systems you primarily work with?  [Other]","Which roles are involved in activities related to green software metrics (e.g., defining, assessing, interpreting, or decision-making) within your organization?     [Developers]","Which roles are involved in activities related to green software metrics (e.g., defining, assessing, interpreting, or decision-making) within your organization?     [Architects]","Which roles are involved in activities related to green software metrics (e.g., defining, assessing, interpreting, or decision-making) within your organization?     [DevOps / SRE (Site Reliability Engineering)]","Which roles are involved in activities related to green software metrics (e.g., defining, assessing, interpreting, or decision-making) within your organization?     [Product / Management]","Which roles are involved in activities related to green software metrics (e.g., defining, assessing, interpreting, or decision-making) within your organization?     [Sustainability / ESG (Environmental, Social, and Governance)]","Which roles are involved in activities related to green software metrics (e.g., defining, assessing, interpreting, or decision-making) within your organization?     [Operations / IT]","Which roles are involved in activities related to green software metrics (e.g., defining, assessing, interpreting, or decision-making) within your organization?     [External stakeholders / customers]","Which roles are involved in activities related to green software metrics (e.g., defining, assessing, interpreting, or decision-making) within your organization?     [Other]","How would you rate the sustainability maturity of the software systems you primarily work with? ","Which runtime environments are used by the majority of the software systems you primarily work with?  [Bare metal]","Which runtime environments are used by the majority of the software systems you primarily work with?  [Virtual machines]","Which runtime environments are used by the majority of the software systems you primarily work with?  [Containers]","Which runtime environments are used by the majority of the software systems you primarily work with?  [Serverless]","Which architectural style best describes the majority of the software systems you primarily work with? ","Which architectural style best describes the majority of the software systems you primarily work with?  [Other]","Where do the majority of the software systems you primarily work with run?     [Self-operated infrastructure with full administrative access (e.g., on-premises servers, edge devices, embedded systems)]","Where do the majority of the software systems you primarily work with run?     [Hosted or colocated infrastructure with full administrative access (e.g., own hardware in external data centers)]","Where do the majority of the software systems you primarily work with run?     [External infrastructure provider with virtual machine access (e.g., root/admin access to VMs)]","Where do the majority of the software systems you primarily work with run?     [External infrastructure provider with platform-level access (e.g., containers or PaaS without host access)]","Where do the majority of the software systems you primarily work with run?     [Fully managed or serverless services (e.g., functions, managed databases, SaaS components)]","How important are the following objectives for your organization? [CO₂ reduction]","How important are the following objectives for your organization? [Energy reduction]","How important are the following objectives for your organization? [Cost reduction]","How important are the following objectives for your organization? [Performance / latency]","How important are the following objectives for your organization? [Compliance / reporting]","Does energy consumption currently influence decision-making in the software systems you primarily work with? ","How strongly do you agree or disagree with the following statement? [Reducing energy consumption through software optimization is worth the required effort for our organization.]","       Which factors hinder the measurement of energy consumption for the software systems you primarily work with?  [Lack of comparable methods]","       Which factors hinder the measurement of energy consumption for the software systems you primarily work with?  [Lack of ground truth (direct power measurements)]","       Which factors hinder the measurement of energy consumption for the software systems you primarily work with?  [High tooling overhead]","       Which factors hinder the measurement of energy consumption for the software systems you primarily work with?  [High data integration effort]","       Which factors hinder the measurement of energy consumption for the software systems you primarily work with?  [Unclear responsibilities]","       Which factors hinder the measurement of energy consumption for the software systems you primarily work with?  [Skills gaps]","       Which factors hinder the measurement of energy consumption for the software systems you primarily work with?  [Cost of instrumentation]","       Which factors hinder the measurement of energy consumption for the software systems you primarily work with?  [Restricted access due to provider or organizational policies]","       Which factors hinder the measurement of energy consumption for the software systems you primarily work with?  [Inconsistent results across environments]","       Which factors hinder the measurement of energy consumption for the software systems you primarily work with?  [None – no significant hindering factors identified]","       Which factors hinder the measurement of energy consumption for the software systems you primarily work with?  [Other]","Which improvements would help enable or enhance energy measurement for the software systems you primarily work with?  [Standardized energy and sustainability metrics (definitions, units, formats)]","Which improvements would help enable or enhance energy measurement for the software systems you primarily work with?  [Clear measurement procedures or checklists]","Which improvements would help enable or enhance energy measurement for the software systems you primarily work with?  [Guidance on appropriate measurement granularity (e.g., system, service, transaction level)]","Which improvements would help enable or enhance energy measurement for the software systems you primarily work with?  [Guidelines or templates for reporting uncertainty and accuracy]","Which improvements would help enable or enhance energy measurement for the software systems you primarily work with?  [Reference dashboards or key performance indicators (KPIs)]","Which improvements would help enable or enhance energy measurement for the software systems you primarily work with?  [Patterns for integrating measurements into CI/CD pipelines]","Which improvements would help enable or enhance energy measurement for the software systems you primarily work with?  [Other]","Do you think additional regulation or policy incentives are needed to increase the practical relevance of energy-efficient software? ","How often are decisions regarding the software systems you primarily work with based on energy consumption? ","Are green or energy-related requirements formally part of the design process for the software systems you primarily work with? ","Which metrics are currently tracked for the software systems you primarily work with?  [Power consumption (e.g., watt)]","Which metrics are currently tracked for the software systems you primarily work with?  [Energy consumption (e.g., kWh, joule)]","Which metrics are currently tracked for the software systems you primarily work with?  [CO₂e emissions]","Which metrics are currently tracked for the software systems you primarily work with?  [Water consumption / water footprint]","Which metrics are currently tracked for the software systems you primarily work with?  [Costs used as a proxy for energy or CO₂e]","Which metrics are currently tracked for the software systems you primarily work with?  [Software Carbon Intensity (SCI)]","Which metrics are currently tracked for the software systems you primarily work with?  [CPU utilization]","Which metrics are currently tracked for the software systems you primarily work with?  [Memory utilization]","Which metrics are currently tracked for the software systems you primarily work with?  [Disk I/O]","Which metrics are currently tracked for the software systems you primarily work with?  [Network utilization]","Which metrics are currently tracked for the software systems you primarily work with?  [Response time / latency]","Which metrics are currently tracked for the software systems you primarily work with?  [Throughput / traffic]","Which metrics are currently tracked for the software systems you primarily work with?  [Error rate]","Which metrics are currently tracked for the software systems you primarily work with?  [Other]","Are CO₂e emissions differentiated by emission scope (Scope 1, 2, 3)?","In which phases of the software life cycle are energy measurements performed?   [Development]","In which phases of the software life cycle are energy measurements performed?   [Testing / Quality Assurance (QA)]","In which phases of the software life cycle are energy measurements performed?   [Production / operations]","In which phases of the software life cycle are energy measurements performed?   [Maintenance / refactoring]","In which phases of the software life cycle are energy measurements performed?   [Ad hoc / exploratory measurements]","In which phases of the software life cycle are energy measurements performed?   [Other]","What are the scopes of observation when measuring energy or resource consumption?  [Infrastructure – physical hardware (server / node / rack)]","What are the scopes of observation when measuring energy or resource consumption?  [Infrastructure – virtual machine (VM)]","What are the scopes of observation when measuring energy or resource consumption?  [Infrastructure – container or pod]","What are the scopes of observation when measuring energy or resource consumption?  [Software – service or component (module)]","What are the scopes of observation when measuring energy or resource consumption?  [Software – transaction or request (API call, inference request)]","What are the scopes of observation when measuring energy or resource consumption?  [Software – code level or static analysis]","What are the scopes of observation when measuring energy or resource consumption?  [Other]","Is the assessment of energy or resource consumption automated in your organization? ","In which runtime environments are measurements taken?  [Bare metal]","In which runtime environments are measurements taken?  [Virtual machines]","In which runtime environments are measurements taken?  [Containers]","In which runtime environments are measurements taken?  [Serverless         ]","How likely is your organization to take the following action within the next 12 months?  [Adopt structured guidelines for measuring and interpreting software energy consumption.]","Which decision areas in your organization would be impacted by improved energy or resource measurements?  [Architecture choices]","Which decision areas in your organization would be impacted by improved energy or resource measurements?  [Hardware components (e.g., ARM64, RISC-V, GPUs, servers)]","Which decision areas in your organization would be impacted by improved energy or resource measurements?  [Software libraries (e.g., databases, APIs, Bluetooth Low Energy)]","Which decision areas in your organization would be impacted by improved energy or resource measurements?  [Service right-sizing]","Which decision areas in your organization would be impacted by improved energy or resource measurements?  [Source code (data structures, coding best practices)]","Which decision areas in your organization would be impacted by improved energy or resource measurements?  [Cloud region / provider]","Which decision areas in your organization would be impacted by improved energy or resource measurements?  [Procurement / Service Level Agreements (SLAs)]","Which decision areas in your organization would be impacted by improved energy or resource measurements?  [Product requirements]","Which decision areas in your organization would be impacted by improved energy or resource measurements?  [Sustainability reporting]","Which decision areas in your organization would be impacted by improved energy or resource measurements?  [Other]","Total time","Group time: Context","Question time: contextrole","Question time: contextdomain","Question time: contextsize","Question time: contextresponsabilit","Question time: contextworkload","Question time: contextdecission","Question time: contextsustainabilit","Question time: contextruntime","Question time: contextarchitecture","Question time: contextlocation","Group time: Want","Question time: wantobjectives","Question time: wantinfluence","Question time: wanteffort","Group time: Can","Question time: canbarrier","Question time: canvalueable","Question time: canpolitical","Group time: Do","Question time: dodecission","Question time: dorequirements","Question time: dometrics","Question time: doesgscope","Question time: dolifecycle","Question time: doscope","Question time: doautomation","Question time: docontext","Group time: Outlook","Question time: outlooklikely","Question time: outlookimpact"
"20","2026-03-02 08:46:13","5","en","1626289544","2026-03-02 08:37:31","2026-03-02 08:46:13","Yes","Yes","No","No","No","No","No","Yes","","1–49","I do not know","Yes","Yes","No","Yes","Yes","No","No","","No","No","No","No","No","No","No","","None","No","No","Yes","Yes","Microservices","","No","No","No","No","Yes","1","1","4","2","5","No – energy is not a decision factor, even if related aspects (e.g., cost, performance) may matter.","Strongly agree","No","No","No","No","Yes","No","No","No","No","No","Lack of Management support & interest","Yes","Yes","Yes","No","No","Yes","","Yes","Never","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","No","No","No","No","No","","No","No","Yes","No","No","No","","No","No","No","Yes","Yes","Unlikely","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","","524.36","130.53","","","","","","","","","","","52.94","","","","90.82","","","","88.43","","","","","","","","","161.64","",""
"33","2026-03-02 13:11:41","5","en","630924270","2026-03-02 13:07:23","2026-03-02 13:11:41","Yes","Yes","No","No","No","Yes","No","Yes","","1–49","Individual / Employee","Yes","No","No","No","No","No","No","","Yes","Yes","Yes","No","No","Yes","No","","Ad hoc pilots","No","Yes","Yes","No","Modular monolith","","No","No","Yes","No","No","4","4","4","4","1","Yes – we consider energy explicitly (e.g., measurements, performance indicators, feedback).","Agree","No","Yes","No","No","No","No","Yes","No","No","No","","Yes","Yes","Yes","Yes","Yes","Yes","","No","Random / ad hoc","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","No","No","No","No","No","","No","No","No","No","No","No","","No","No","Yes","Yes","No","Strongly unlikely","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","257.4","86.32","","","","","","","","","","","27.39","","","","47.48","","","","71.54","","","","","","","","","24.67","",""
"37","2026-03-02 15:30:15","5","en","2047267","2026-03-02 15:23:10","2026-03-02 15:30:15","No","Yes","No","Yes","Yes","Yes","Yes","Yes","","5000+","Department","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","No","","Ad hoc pilots","No","Yes","Yes","Yes","Other","All","Yes","Yes","Yes","Yes","Yes","3","4","5","5","3","Yes – we consider energy explicitly (e.g., measurements, performance indicators, feedback).","Strongly agree","No","No","No","No","No","Yes","No","Yes","No","No","","No","No","No","Yes","Yes","Yes","","Yes","Regularly","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","No","Yes","Yes","No","No","","No","Yes","Yes","Yes","Yes","Yes","","Yes","No","Yes","Yes","Yes","Strongly likely","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","426.74","143.2","","","","","","","","","","","45.95","","","","51.22","","","","159.47","","","","","","","","","26.9","",""
"41","2026-03-02 19:49:12","5","en","311342621","2026-03-02 19:40:49","2026-03-02 19:49:12","Yes","Yes","No","No","No","Yes","Yes","Yes","","1–49","Company / Organization","Yes","Yes","Yes","Yes","Yes","No","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Integrated into the Software Development Life Cycle (SDLC)","Yes","Yes","Yes","No","Modular monolith","","No","Yes","Yes","Yes","No","5","5","3","4","3","Yes – we consider energy explicitly (e.g., measurements, performance indicators, feedback).","Agree","No","No","No","Yes","No","No","No","Yes","No","No","Availability of data from vendors","Yes","No","Yes","Yes","No","No","","Yes","Regularly","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","","Yes, Scope 1, 2, and 3 are distinguished","No","No","Yes","No","No","","No","Yes","Yes","Yes","No","No","","No","Yes","Yes","Yes","No","Strongly likely","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","*** Highlighting importance of procurement ***","503.63","139.93","","","","","","","","","","","40.25","","","","114.18","","","","151.13","","","","","","","","","58.14","",""
"48","2026-03-03 08:54:01","5","en","632305959","2026-03-03 08:46:24","2026-03-03 08:54:01","Yes","No","Yes","No","No","No","No","Yes","","1000–4999","Company / Organization","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","No","No","No","No","Yes","No","No","","None","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","1","1","2","1","2","No – energy is not a decision factor, even if related aspects (e.g., cost, performance) may matter.","Agree","No","No","No","No","Yes","Yes","No","No","No","No","","Yes","Yes","No","No","Yes","Yes","","Yes","Never","No","No","No","No","No","No","No","No","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","Unlikely","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","","459.38","103.31","","","","","","","","","","","136.93","","","","120.22","","","","36.56","","","","","","","","","62.36","",""
"49","2026-03-03 09:44:45","5","en","1633516534","2026-03-03 09:37:11","2026-03-03 09:44:45","No","Yes","No","No","No","No","Yes","No","","5000+","Company / Organization","Yes","No","Yes","Yes","No","No","No","","Yes","Yes","Yes","No","Yes","No","No","","Ad hoc pilots","Yes","Yes","Yes","No","Modular monolith","","Yes","No","Yes","No","No","1","3","4","5","5","Yes – we consider energy explicitly (e.g., measurements, performance indicators, feedback).","Disagree","No","No","No","No","No","No","Yes","No","No","No","Not a strong business case","No","No","No","No","No","No","High energy prices. We are sensitive to money, not to moral. We can count much better than symphathize.","Yes","Random / ad hoc","No","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","No","No","Yes","No","Yes","","Yes","No","Yes","No","No","No","","No","Yes","No","Yes","No","Unlikely","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","","456.65","125.06","","","","","","","","","","","80.77","","","","107.9","","","","109.49","","","","","","","","","33.43","",""
"50","2026-03-03 21:29:36","5","en","638603853","2026-03-03 21:22:28","2026-03-03 21:29:36","Yes","Yes","No","No","No","No","Yes","No","","1–49","Department","Yes","No","No","No","Yes","No","No","","Yes","No","Yes","No","No","No","No","","None","No","No","Yes","No","Microservices","","No","No","No","Yes","Yes","1","1","4","5","4","No – energy is not a decision factor, even if related aspects (e.g., cost, performance) may matter.","Agree","No","Yes","No","No","No","No","Yes","Yes","No","No","Priority","Yes","Yes","Yes","No","Yes","No","","No","Never","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","No","No","No","No","Yes","","No","No","Yes","No","No","No","","Yes","No","No","Yes","No","Unlikely","No","Yes","Yes","Yes","No","No","No","No","No","","429.86","142.2","","","","","","","","","","","49.73","","","","124.93","","","","83.49","","","","","","","","","29.51","",""
"54","2026-03-04 10:17:51","5","en","1938680992","2026-03-04 10:09:06","2026-03-04 10:17:51","Yes","Yes","No","No","Yes","No","Yes","No","","1–49","Department","No","Yes","No","No","Yes","No","Yes","","Yes","No","Yes","No","No","No","No","","I do not know","Yes","Yes","Yes","No","Modular monolith","","Yes","Yes","Yes","No","No","1","2","1","4","4","Yes – we consider energy explicitly (e.g., measurements, performance indicators, feedback).","Neither agree nor disagree","No","Yes","Yes","Yes","No","Yes","No","No","No","No","","Yes","No","Yes","No","Yes","Yes","","No","Never","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","","","No","Yes","No","No","No","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","No","No","No","Strongly unlikely","No","Yes","Yes","No","Yes","No","No","No","Yes","","527.37","218.51","","","","","","","","","","","87.08","","","","57.16","","","","117.81","","","","","","","","","46.81","",""
"57","2026-03-04 15:38:31","5","en","1910628848","2026-03-04 15:33:43","2026-03-04 15:38:31","No","No","Yes","No","No","Yes","Yes","Yes","","5000+","Group / Division / Unit","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","No","Yes","No","Yes","Yes","Yes","No","","Ad hoc pilots","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","5","5","5","4","2","Yes – we consider energy explicitly (e.g., measurements, performance indicators, feedback).","Agree","Yes","Yes","No","No","No","No","No","No","Yes","No","","Yes","Yes","Yes","Yes","Yes","Yes","","No","Regularly","No","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","","","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","Strongly likely","Yes","No","Yes","No","No","No","Yes","Yes","Yes","","288.97","120.76","","","","","","","","","","","50.76","","","","52.36","","","","38.11","","","","","","","","","26.98","",""
"61","2026-03-04 15:45:44","5","en","1678539250","2026-03-04 15:34:15","2026-03-04 15:45:44","No","Yes","No","No","No","No","Yes","Yes","","5000+","Group / Division / Unit","No","Yes","Yes","Yes","Yes","No","No","","No","No","No","No","Yes","No","No","","Ad hoc pilots","No","Yes","Yes","No","Microservices","","No","No","Yes","Yes","No","4","3","5","3","5","No – energy is not a decision factor, even if related aspects (e.g., cost, performance) may matter.","Agree","No","Yes","No","No","Yes","No","No","Yes","No","No","","Yes","No","No","Yes","Yes","No","","Yes","Random / ad hoc","No","No","No","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","No","","Yes, Scope 1, 2, and 3 are distinguished","No","No","No","No","Yes","","No","No","No","No","No","No","","Yes","No","Yes","Yes","No","Likely","No","No","No","Yes","Yes","Yes","Yes","No","Yes","","690.34","114.12","","","","","","","","","","","406.52","","","","55.28","","","","80.05","","","","","","","","","34.37","",""
